ID,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
1826,189,104,379,111,189,218
1,464,5,64,7,0,37
10476,134,11,59,15,2,30
1386,10,0,1,0,0,0
5371,6,16,24,11,0,34
7348,336,130,411,240,32,43
4073,769,80,252,15,34,65
1991,78,0,11,0,0,7
4047,384,0,102,21,32,5
9477,384,0,102,21,32,5
2079,450,26,535,73,98,26
5642,140,4,61,0,13,4
10530,431,82,441,80,20,102
2964,3,10,8,3,16,32
10311,16,4,12,2,4,321
837,63,6,57,13,13,22
10521,63,6,57,13,13,22
10175,18,0,2,0,0,2
1473,53,1,5,2,1,10
2795,5,0,3,0,0,5
2285,213,9,76,4,3,30
115,275,11,68,25,7,7
10470,40,2,23,0,4,23
4065,308,0,73,0,0,23
10968,266,21,300,65,8,44
5985,80,1,37,0,1,3
5430,454,0,171,8,19,32
8432,454,0,171,8,19,32
453,27,0,12,0,1,5
9687,184,174,256,50,30,32
8890,155,7,80,13,7,10
9264,423,42,706,73,197,197
5824,7,0,1,0,0,0
5794,408,0,21,0,0,17
3068,1,12,9,0,14,7
7962,1285,21,449,106,20,20
2681,71,22,112,138,89,29
10141,7,1,6,0,3,3
3725,1248,16,349,43,16,16
3767,378,0,189,97,172,172
5585,12,2,17,6,1,10
7030,1200,0,204,38,29,14
1524,709,45,115,30,160,45
3657,94,1,33,13,12,12
5740,4,2,12,7,5,26
9595,539,169,816,20,0,30
3158,13,3,6,6,5,6
5114,670,9,249,0,28,9
340,158,35,179,0,0,125
8805,283,10,38,0,13,27
1241,13,3,8,7,4,16
1402,496,36,460,189,60,12
7264,12,0,4,0,0,1
1619,292,51,981,224,23,17
6398,7,10,13,16,0,4
1857,46,0,12,0,2,23
4877,34,0,7,0,0,0
3066,167,0,43,6,2,13
10286,318,8,407,150,35,8
1992,522,0,257,32,16,66
4246,67,11,26,4,3,262
10623,28,0,4,0,0,0
4867,58,0,18,2,0,10
3112,2,4,9,0,4,5
4865,229,7,140,10,3,11
6287,14,0,16,0,0,6
4405,622,7,115,30,0,15
5332,362,50,431,134,35,54
1519,38,4,22,3,3,3
9080,38,4,22,3,3,3
1772,1074,37,518,193,92,129
5341,983,76,184,180,138,27
5510,262,6,61,0,10,102
3887,3,17,26,20,1,39
7022,739,107,309,140,80,35
9999,610,105,125,137,42,21
10352,50,4,28,6,3,26
7919,1285,105,653,28,21,0
4114,650,37,780,27,167,32
7990,9,1,2,3,2,0
9888,458,81,356,106,50,40
4399,458,81,356,106,50,40
4452,292,6,37,0,3,34
4785,520,7,154,19,0,14
8461,14,0,1,0,0,1
3878,3,4,7,15,8,11
9612,1,8,6,4,8,16
4098,20,3,16,0,4,1
158,345,53,528,98,75,97
3896,22,1,11,0,1,2
9970,42,11,57,10,28,14
4002,463,96,333,168,53,10
10914,4,1,7,2,1,2
7279,260,86,559,63,9,67
10582,180,32,348,76,32,90
4470,62,1,44,6,5,22
6183,62,1,44,6,5,22
6379,67,1,20,0,2,31
8601,421,76,536,82,178,102
4827,154,22,202,39,30,8
6715,502,19,132,0,6,26
10676,145,193,459,205,26,145
1041,322,3,50,4,3,42
492,322,3,50,4,3,42
11133,322,3,50,4,3,42
4491,1099,0,45,0,0,34
873,1099,0,45,0,0,34
1631,890,63,292,0,25,12
8278,863,83,547,86,99,33
6815,448,21,125,52,101,62
254,399,4,30,6,4,30
1349,85,7,24,2,3,27
2534,97,1,41,6,2,41
2130,35,3,67,10,8,24
2296,3,2,11,2,2,10
3799,315,35,322,46,7,143
11084,738,0,232,13,20,50
5172,738,0,232,13,20,50
9504,179,28,520,111,123,47
850,381,28,215,84,28,21
4477,247,49,159,7,82,109
1945,711,36,217,172,96,168
7685,30,8,12,8,8,12
6310,30,8,12,8,8,12
10832,288,10,30,4,10,125
3025,212,6,69,4,12,3
2404,173,4,30,3,6,41
8581,604,0,100,19,0,28
8755,482,34,471,119,68,22
10177,531,69,300,150,138,150
2429,531,69,300,150,138,150
8920,448,40,469,80,0,91
8430,9,0,6,3,1,3
8619,9,0,6,3,1,3
8996,230,42,192,49,37,53
7233,496,32,849,229,48,128
6678,33,4,24,4,2,5
830,784,48,560,42,176,48
6365,10,12,12,25,1,20
6770,5,13,14,0,5,31
2261,4,1,5,2,0,4
1031,600,20,350,29,30,33
10089,168,148,444,32,172,148
9256,493,26,206,116,80,80
10641,6,5,4,13,4,25
624,6,4,1,7,2,15
4211,4,12,5,3,16,17
1407,4,12,5,3,16,17
10356,29,0,2,0,0,1
9323,520,8,223,32,49,42
1146,520,8,223,32,49,42
6343,835,73,380,114,73,43
8545,1296,17,311,45,69,51
8275,16,0,3,0,0,1
10673,760,80,466,17,13,80
8799,70,6,69,2,3,3
67,68,0,16,0,0,8
9923,68,0,16,0,0,8
2814,9,1,5,4,5,7
2711,9,1,5,4,5,7
4320,325,83,300,86,58,91
10451,9,1,3,0,4,8
4198,9,1,3,0,4,8
10814,303,23,751,82,26,191
944,121,103,69,8,44,48
8151,16,36,21,20,62,108
6184,561,64,785,84,128,48
3498,462,61,184,10,53,107
2870,376,0,38,11,8,69
7342,341,142,113,259,151,66
1911,595,97,291,127,133,121
10862,179,8,83,19,11,26
2546,23,4,5,10,5,23
3005,530,117,678,134,44,147
8318,594,134,786,33,134,57
2930,852,60,207,78,36,48
8216,158,0,76,13,7,71
1212,384,25,292,130,41,64
2541,14,7,11,11,0,5
10659,2,8,11,3,8,21
10905,194,2,56,0,0,0
8910,194,2,56,0,0,0
7349,6,17,16,6,16,42
7872,179,21,273,0,21,63
4290,1,3,8,2,5,5
7408,216,2,6,0,0,9
9986,16,0,23,3,2,10
8235,428,30,214,80,30,61
10949,1092,37,592,145,37,55
7284,10,0,7,2,0,1
9529,559,153,503,218,13,181
9930,606,148,228,15,148,22
10270,11,5,22,12,5,11
760,588,7,76,110,15,15
5519,316,58,161,76,51,135
232,279,83,88,32,14,34
3009,1462,16,128,0,0,160
6518,546,0,48,0,6,6
10669,277,21,64,62,21,25
5682,948,10,86,13,21,21
1570,664,9,240,50,19,57
1497,268,11,88,15,3,22
9723,530,142,217,62,9,56
7261,199,33,60,8,3,15
2452,199,33,60,8,3,15
5621,73,57,100,71,15,0
10995,16,5,30,8,7,26
7373,96,12,96,33,22,43
5331,587,51,898,247,0,86
263,56,19,29,2,14,25
4619,6,2,3,1,262,3
940,158,11,99,15,11,17
10084,3,2,8,20,0,17
6019,45,3,9,4,4,7
1463,8,2,5,3,0,3
6424,12,6,2,11,2,16
8233,508,5,21,7,5,10
1515,11,2,7,4,2,2
10855,234,14,77,19,10,42
10909,992,24,694,51,19,119
3376,125,6,73,8,4,19
10232,174,18,81,28,6,24
5547,1478,19,403,0,19,0
8362,1478,19,403,0,19,0
3524,80,1,60,4,6,16
10095,1001,12,240,16,12,12
8897,392,5,91,28,26,112
466,388,14,218,91,14,21
11025,65,0,46,4,3,20
2387,177,2,71,3,2,20
1618,577,0,64,0,0,51
25,460,35,422,33,12,153
3277,219,3,100,26,0,17
8566,5,0,3,0,0,1
2634,5,7,31,15,4,7
8036,31,1,13,7,2,9
8159,117,0,22,13,0,30
7628,30,5,24,6,3,8
9597,236,106,189,23,41,130
1384,6,4,14,8,8,22
10150,464,28,873,29,18,37
3885,16,2,18,3,0,24
11003,2,5,7,0,18,18
8026,120,58,73,65,89,58
577,9,1,7,0,3,2
8702,9,1,7,0,3,2
5429,145,1,33,2,1,1
977,200,19,111,50,15,19
2793,532,88,168,69,44,133
1071,532,88,168,69,44,133
5074,30,0,10,2,0,5
2632,297,0,38,13,0,152
6404,151,7,89,0,7,28
10240,997,26,269,34,13,42
2521,23,1,13,2,2,18
4301,23,1,13,2,2,18
7381,797,153,293,72,97,30
2407,823,25,459,124,29,95
9064,823,25,459,124,29,95
5067,966,26,282,52,26,26
10281,180,60,241,13,54,54
11191,37,32,38,11,3,18
1994,5,5,6,0,2,1
2552,416,0,26,0,0,4
6720,314,11,53,4,3,107
4557,10,7,19,8,2,21
1183,9,1,4,3,2,3
4186,18,6,15,12,8,17
1419,18,6,15,12,8,17
967,342,9,112,19,14,19
1048,63,3,67,8,9,28
9262,20,6,5,0,9,12
3427,629,0,70,0,0,35
5892,158,6,45,8,2,2
8911,201,53,172,116,77,83
6606,964,34,137,15,0,11
2677,72,24,68,65,4,8
252,123,133,142,71,44,88
9860,159,0,22,2,1,31
1388,6,10,21,19,14,42
979,6,10,21,19,14,42
7494,209,0,40,3,2,15
10490,100,64,79,65,0,109
3403,1170,19,594,99,76,134
2715,70,3,37,4,2,64
4828,71,99,278,185,121,38
92,5,7,24,19,14,20
3312,5,7,24,19,14,20
11176,376,9,83,19,4,4
1446,387,68,569,89,45,68
9699,357,35,271,28,28,14
9790,912,72,170,47,36,97
2324,625,38,242,50,34,76
5080,420,0,452,182,64,140
4992,6,4,16,3,10,30
7849,209,19,456,160,142,66
4808,1,2,5,6,0,3
10401,1,0,5,0,3,9
7793,641,7,84,0,30,38
9303,12,4,7,1,3,5
6853,712,26,538,69,13,80
7366,712,26,538,69,13,80
9780,465,25,132,136,0,37
7573,39,1,9,2,1,34
1379,154,2,46,20,4,15
8923,514,22,732,42,198,79
3547,14,7,9,6,16,12
8707,565,42,548,64,83,99
1891,667,50,850,21,83,83
6271,53,0,8,0,0,2
9635,66,2,40,4,3,14
9727,4,24,11,16,1,25
6205,34,3,29,0,4,10
10681,129,129,259,168,121,83
5156,129,129,259,168,121,83
3050,185,0,28,3,2,17
8164,1023,93,651,49,55,37
5626,338,4,89,11,8,13
7600,1,3,3,8,1,13
6406,647,107,391,175,67,40
7002,163,48,90,0,45,52
8234,1,6,7,0,1,3
6116,19,13,18,10,7,8
291,182,74,298,162,149,116
8779,56,4,76,17,1,18
4931,1,0,1725,2,1,1
1650,779,86,537,34,69,138
9701,32,34,41,73,16,116
6431,42,1,18,3,0,4
10789,42,1,18,3,0,4
5302,298,27,697,216,24,166
4459,10,4,14,4,4,1
10642,10,4,14,4,4,1
9213,4,1,5,2,0,3
3678,488,23,71,15,0,59
3698,817,185,687,145,55,241
5929,19,3,19,3,1,3
10795,19,3,19,3,1,3
4390,459,15,171,142,23,31
9362,492,5,32,13,5,21
1577,558,79,622,207,175,95
4609,383,0,53,6,4,40
7143,209,162,209,41,162,37
1729,1043,24,97,32,24,157
10664,400,4,35,6,0,22
5029,3,1,2,4,3,1
10507,691,7,69,0,7,23
3865,2,12,10,6,13,30
6982,783,30,537,140,76,15
7042,3,3,14,15,21,10
9668,4,16,20,0,17,20
6878,43,12,96,78,40,55
4099,10,2,16,11,2,21
5031,777,35,731,39,137,114
1970,63,0,21,7,0,12
5726,16,7,23,0,8,6
5231,27,2,7,0,2,13
1307,27,5,8,8,3,12
10609,71,0,13,3,1,0
5782,402,35,106,101,77,42
7533,144,1,32,2,1,7
9493,840,53,804,23,71,17
2253,32,0,8,23,4,18
2326,32,0,8,23,4,18
1876,32,0,8,23,4,18
7141,88,10,46,2,3,64
7393,56,5,24,4,0,3
4713,74,0,42,2,1,6
5093,40,3,30,10,7,11
8524,40,3,30,10,7,11
3766,100,71,243,108,94,219
9725,8,0,3,0,0,1
8933,26,3,23,4,7,3
10779,15,5,14,0,4,11
9289,29,1,17,0,3,13
2613,162,6,37,6,13,13
10133,1302,68,731,89,114,45
8443,6,10,12,3,15,40
10796,47,1,6,0,0,12
10241,0,0,0,6,2,6
3388,129,26,67,3,67,2
6507,16,11,15,2,0,12
7446,520,42,98,0,42,14
87,0,7,5,26,2,17
10477,71,0,18,0,0,13
6072,918,57,842,99,38,133
2518,5,4,5,4,2,10
247,172,10,125,21,13,16
9463,931,56,253,91,98,14
1459,666,35,124,69,8,26
9530,5,3,4,4,1,0
9653,27,1,14,4,1,21
10785,24,1,10,2,0,4
9392,4,1,11,0,0,1
3769,25,1,13,0,0,3
10146,25,1,13,0,0,3
4741,391,32,70,21,32,16
1880,81,0,6,0,0,6
6471,14,2,30,8,2,3
5718,674,168,108,192,42,231
3478,267,42,309,55,42,21
7848,224,2,25,7,0,110
7999,1239,17,413,23,34,17
11101,412,22,132,59,28,183
9212,1205,0,235,19,14,205
10983,304,98,230,150,74,74
3629,76,3,31,4,4,27
4673,1004,12,145,32,12,36
796,584,44,212,46,8,177
618,422,7,238,69,46,15
380,1170,48,320,42,32,192
1092,269,129,495,182,43,29
8962,26,0,8,0,0,3
8207,28,0,9,3,0,0
6521,613,22,319,33,102,12
535,163,23,424,27,65,76
4608,163,23,424,27,65,76
11086,1,6,2,3,6,3
1064,22,1,11,0,5,3
7000,279,172,74,38,8,246
1581,2,0,8,2,2,3
7384,113,61,204,34,26,47
10552,70,54,109,80,9,45
6409,267,140,599,34,12,127
9507,261,23,73,4,23,50
9560,856,61,570,40,25,122
10991,454,194,106,31,22,43
4712,8,8,22,24,11,9
11056,546,91,410,119,0,22
7414,96,1,42,12,3,32
3076,452,18,102,16,18,6
6355,20,0,14,7,3,1
7959,658,80,483,123,13,13
5512,451,0,39,0,4,24
10102,395,183,565,166,141,28
9369,688,14,309,201,24,38
3711,1035,134,670,25,38,0
6931,464,151,292,65,60,30
9596,365,32,117,34,110,6
2727,181,21,69,39,3,96
8416,6,6,15,10,5,2
3967,331,197,170,58,152,35
2139,3,1,10,3,2,12
2162,256,34,103,90,29,49
9242,836,185,575,24,25,77
10595,2,6,28,13,4,16
4855,14,0,24,3,3,2
5049,14,0,24,3,3,2
4967,233,0,23,0,0,12
5255,5,1,3,3,263,362
9215,378,0,101,0,0,72
3525,12,0,4,0,0,1
3619,345,25,501,63,138,80
4415,10,4,4,3,3,14
3645,19,3,26,10,9,3
4692,7,0,12,13,7,32
3955,2,1,1,1,0,1
5313,30,0,11,0,0,3
7196,9,0,3,0,0,1
1381,172,3,115,16,0,18
10951,279,0,18,0,0,9
4322,881,38,319,16,25,12
7444,19,0,9,0,0,2
2942,305,3,27,4,3,144
2874,6,4,7,4,3,8
3667,778,178,689,41,27,44
3697,69,8,26,12,7,12
9955,69,8,26,12,7,12
5320,79,7,58,6,3,18
6422,344,189,482,50,33,172
3690,1184,102,673,52,40,40
2408,490,0,184,10,28,21
9260,1349,16,249,43,16,33
9648,153,4,56,0,9,31
4939,84,5,38,150,12,28
8652,84,5,38,150,12,28
4702,1000,155,379,224,17,120
2587,14,0,6,0,0,0
2811,52,0,9,0,0,1
9150,52,0,9,0,0,1
10127,301,11,61,4,7,11
5493,15,0,2,0,0,6
2666,519,50,167,130,0,41
10099,238,115,215,169,69,76
10562,620,26,195,34,17,141
7881,620,26,195,34,17,141
6721,572,19,286,50,38,248
5204,380,98,733,110,112,28
5209,443,5,71,21,16,82
10128,620,16,165,0,24,82
9284,620,16,165,0,24,82
8643,252,98,827,219,70,196
1685,796,14,590,38,44,0
2877,410,0,59,19,9,44
8369,1,2,7,4,3,11
6233,507,19,364,25,47,9
195,125,17,52,3,19,30
1501,55,16,1622,17,3,4
10846,327,9,125,25,4,139
8341,15,0,6,0,1,12
10766,397,19,69,12,0,9
9971,397,19,69,12,0,9
1740,760,38,104,50,9,38
8737,29,1,9,2,0,2
6466,105,0,9,2,1,4
10430,1126,28,211,37,28,42
8773,280,0,18,0,0,24
2371,39,1,22,3,4,12
7786,68,7,59,10,5,11
4088,108,1,28,13,1,4
4971,108,1,28,13,1,4
10560,16,1,2,0,0,1
6892,641,7,56,0,0,28
11004,8,0,5,7,0,2
1818,25,0,8,0,1,4
9485,102,9,49,24,3,12
6646,3,0,5,13,0,1
4248,1000,19,711,125,115,38
7451,1000,19,711,125,115,38
7861,820,57,242,45,0,11
5232,86,12,75,33,15,6
3011,86,12,75,33,15,6
5758,1074,0,69,0,0,46
2173,13,6,7,0,3,3
10711,217,77,373,111,23,93
8268,352,0,27,10,0,15
2782,352,0,27,10,0,15
9432,9,14,18,8,1,12
5872,240,90,216,63,6,24
11187,2,8,10,12,14,23
2428,3,18,26,11,8,12
1726,3,9,15,13,2,39
1802,412,5,119,38,29,77
1162,124,83,267,85,59,35
10643,124,83,267,85,59,35
11112,736,114,279,82,76,190
2114,1006,22,115,59,68,45
4261,1006,22,115,59,68,45
2457,8,4,5,15,2,11
2495,217,38,350,111,85,15
6983,23,2,17,2,1,0
3436,11,0,5,2,1,1
7505,22,1,9,0,0,14
4286,580,6,58,8,0,27
7224,10,0,10,3,1,7
6215,10,0,10,3,1,7
968,112,19,21,16,14,5
4096,112,19,21,16,14,5
3153,11,0,4,0,0,2
6504,2,5,9,28,6,28
5329,8,0,3,0,0,0
1175,88,39,54,64,28,153
1377,182,4,33,0,0,66
4607,227,23,389,42,21,75
4944,227,23,389,42,21,75
9483,290,59,177,77,5,29
1378,284,16,160,84,16,134
5991,173,2,39,3,2,47
2807,656,38,161,62,47,37
1052,656,38,161,62,47,37
9760,953,0,71,0,0,174
7101,953,0,71,0,0,174
9909,3,18,14,15,22,50
5907,8,0,8,0,0,2
793,18,3,17,3,0,4
8832,37,5,56,12,8,5
2535,163,0,480,0,126,75
1523,69,2,15,2,2,6
1839,56,7,48,10,2,18
9972,38,0,2,0,0,6
2945,38,0,2,0,0,6
9291,8,2,4,0,0,1
2829,626,0,70,0,7,28
8594,112,0,6,2,1,14
1592,547,99,812,151,82,33
4310,507,93,520,242,40,26
6950,35,1,16,0,1,1
8492,795,0,545,95,58,0
5684,56,0,9,0,0,3
5909,895,10,101,13,0,152
9855,899,0,101,0,0,20
975,178,4,26,8,4,44
8754,14,0,3,0,0,3
1456,265,199,303,234,9,170
2849,265,199,303,234,9,170
9984,349,16,144,28,5,182
5527,4,12,11,3,13,15
5628,848,154,323,201,61,78
7627,817,183,797,106,163,20
1351,962,12,194,16,24,12
10629,25,3,43,17,4,17
10395,1,45,3,4,6,42
6961,1,1,5,0,3,1
10196,212,123,177,15,64,23
6182,11,4,20,10,3,5
10432,2,0,9,3,6,2
1542,347,0,35,4,3,7
4220,73,0,13,0,1,0
4141,426,49,127,111,21,42
1940,1,3,4,2,2,6
1506,48,9,45,3,15,20
6347,1,1,4,11,9,10
1361,1076,68,103,29,91,68
9422,36,2,42,20,21,10
1081,733,9,180,12,19,66
7458,39,2,25,4,3,24
1012,523,7,134,37,14,169
5453,1083,108,649,253,151,108
6818,98,0,106,49,10,106
7807,98,0,106,49,10,106
7532,99,2,11,4,0,16
8346,138,15,35,25,11,72
5564,509,133,497,78,24,97
3267,527,0,21,0,0,60
3091,340,21,134,258,14,56
762,340,21,134,258,14,56
8029,1184,32,352,21,16,16
4376,10,24,15,13,1,30
10981,434,137,400,45,137,45
486,434,137,400,45,137,45
1158,102,1,15,2,0,24
9119,208,17,76,36,17,38
6694,438,66,400,12,38,114
10573,125,16,98,134,21,27
10140,1308,0,396,23,0,0
2286,64,1,21,0,1,27
8420,7,4,13,15,8,17
10065,7,4,13,15,8,17
1029,200,5,44,0,10,20
4207,1001,44,107,58,44,44
10277,36,0,2,0,0,4
4436,18,42,24,15,20,18
2929,18,42,24,15,20,18
6281,673,0,199,37,47,26
10390,6,7,4,3,4,6
2574,1050,12,144,0,0,24
709,787,20,204,0,0,92
5955,833,33,549,151,133,233
8486,284,0,52,8,3,20
10343,605,91,399,0,45,205
6652,227,151,573,98,54,31
8746,800,0,297,0,34,57
4686,861,31,558,62,95,79
3551,62,1,57,19,11,48
4338,23,0,9,0,0,12
4444,11,0,16,7,6,21
498,25,0,22,2,3,5
8230,22,2,31,7,4,5
2826,25,0,8,2,0,2
6222,25,0,8,2,0,2
7352,161,28,136,32,3,45
10928,315,4,62,41,31,146
10736,522,0,522,227,120,134
10163,712,50,420,65,38,38
6168,33,0,5,0,0,15
4656,342,32,230,34,32,40
626,22,2,12,0,2,5
3870,359,35,314,93,116,89
6299,324,48,186,39,18,198
7798,233,20,57,8,20,91
9973,370,9,92,6,9,4
4299,1001,17,572,93,125,17
10971,173,8,107,7,2,176
9931,5,0,1,1,1,1
6679,10,3,3,0,0,0
5961,8,4,20,6,3,16
6255,138,39,63,55,18,21
8614,245,19,125,37,67,14
7828,68,129,396,188,22,15
1277,434,22,388,104,22,34
3595,631,43,239,128,76,21
5735,1156,120,915,94,144,96
5350,1156,120,915,94,144,96
4137,398,40,367,119,122,30
6357,230,35,75,63,57,31
9316,2,0,7,3,7,10
3578,122,21,43,25,10,15
153,19,3,6,4,2,12
10524,386,23,95,54,41,196
1518,379,6,157,25,91,91
2036,243,11,119,10,3,15
9495,358,108,413,141,97,32
2631,358,108,413,141,97,32
6312,258,107,291,84,37,86
615,65,36,74,38,20,110
4406,846,84,352,91,56,42
10061,724,17,143,0,8,196
10619,770,29,890,250,27,24
4945,815,10,239,28,10,108
1777,2,2,11,41,7,11
4023,16,17,19,20,21,22
7922,819,0,72,12,0,63
10699,46,0,40,3,0,3
7516,5,3,11,12,5,9
3129,5,3,11,12,5,9
5121,479,5,82,7,17,171
2186,938,142,754,159,81,183
10548,283,17,372,138,106,44
6384,909,12,278,0,12,242
2625,156,29,56,30,32,47
1676,213,2,44,0,2,5
5534,123,1,26,2,0,72
6859,37,4,24,16,9,9
271,154,0,50,6,11,37
7699,154,0,50,6,11,37
7832,940,44,396,0,88,58
938,51,1,7,2,1,25
7873,141,11,114,15,14,5
9967,160,15,196,15,11,50
1087,16,14,36,37,22,48
8314,557,129,761,29,185,111
3762,196,0,512,33,130,54
10383,295,35,482,121,120,40
6798,231,7,137,4,15,39
4168,231,7,137,4,15,39
6690,38,4,22,4,2,20
10602,29,12,59,19,1,36
3220,29,12,59,19,1,36
5424,29,12,59,19,1,36
7488,420,15,186,151,38,15
5289,8,4,12,15,4,29
347,229,27,71,13,3,34
5236,1230,0,396,232,178,158
9478,91,64,128,65,3,50
477,1060,61,835,80,20,101
7411,11,0,5,0,0,1
3107,121,24,124,24,15,42
7437,13,0,8,2,1,5
255,17,0,2,0,0,2
3790,8,1,5,0,0,1
749,46,7,59,2,4,27
1503,85,1,16,2,1,2
8650,5,6,10,6,5,10
607,302,29,131,32,0,27
1008,728,17,133,11,8,124
9396,9,0,6,4,1,5
933,9,0,6,4,1,5
5710,110,0,5,2,0,3
2882,711,28,142,49,18,47
2379,778,44,499,95,73,146
5342,0,1,3,10,6,9
3262,995,112,417,42,48,41
5832,493,183,352,184,23,28
5025,23,17,23,43,20,9
